package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
anaconda,0,0,7236,0,0,1198,0,7236,0.0,Yoruba
atril,53,0,3793,39,0,602,69,3846,1.3780551222048882,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
bookworm,0,0,795,0,0,149,0,795,0.0,
caja,3009,0,6616,647,0,948,3614,9625,31.262337662337664,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
caja-extensions,4,0,667,4,0,142,6,671,0.5961251862891207,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
cinnamon-desktop,0,0,231,0,0,31,0,231,0.0,amo@wazobiasoft.org
cinnamon-translations,8,0,313,2,0,66,7,321,2.4922118380062304,
coin,0,0,252,0,0,50,0,252,0.0,none
dippi,0,0,397,0,0,53,0,397,0.0,none
elementary-capnet-assist,0,0,82,0,0,14,0,82,0.0,none
elementary-code,0,0,1151,0,0,257,0,1151,0.0,LANGUAGE <LL@li.org>
elementary-files,0,0,2911,0,0,559,0,2911,0.0,LANGUAGE <LL@li.org>
elementary-greeter,0,0,166,0,0,37,0,166,0.0,
elementary-music,0,0,1308,0,0,366,0,1308,0.0,LANGUAGE <LL@li.org>
elementary-notifications,0,0,3,0,0,2,0,3,0.0,none
elementary-photos,0,0,3910,0,0,806,0,3910,0.0,LANGUAGE <LL@li.org>
elementary-planner,0,0,2998,0,0,573,0,2998,0.0,LANGUAGE <LL@li.org>
elementary-screenshot-tool,0,0,212,0,0,55,0,212,0.0,LANGUAGE <LL@li.org>
elementary-shortcut-overlay,0,0,95,0,0,39,0,95,0.0,none
elementary-sideload,0,0,224,0,0,44,0,224,0.0,none
elementary-terminal,0,0,442,0,0,90,0,442,0.0,
elementary-videos,0,0,346,0,0,90,0,346,0.0,
engrampa,51,0,1984,30,0,393,67,2035,2.506142506142506,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
entangle,0,0,953,0,0,229,0,953,0.0,Yoruba
eom,32,0,1737,29,0,312,41,1769,1.8089315997738835,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
epiphany,1553,276,533,479,95,87,1795,2362,65.7493649449619,Yoruba
gala,0,0,140,0,0,34,0,140,0.0,none
gnome-desktop,328,8,28,90,2,1,357,364,90.10989010989012,amo@wazobiasoft.org
gnome-desktop3,328,8,28,90,2,1,357,364,90.10989010989012,amo@wazobiasoft.org
gnome-menus,116,15,26,42,5,9,152,157,73.88535031847134,Yoruba
gnome-panel,2057,936,527,283,129,96,2356,3520,58.4375,Yoruba
gnome-session,117,86,519,20,28,65,148,722,16.20498614958449,
granite,0,0,269,0,0,88,0,269,0.0,
harvey,0,0,57,0,0,12,0,57,0.0,none
initial-setup,0,0,33,0,0,7,0,33,0.0,Yoruba
iso-codes,324,10,648,219,3,198,338,982,32.9938900203666,Yoruba <https://hosted.weblate.org/projects/iso-codes/iso-3166-1/yo/>
isomaster,9,0,665,8,0,99,12,674,1.3353115727002967,http://littlesvr.ca/ostd/
libmatekbd,5,0,303,5,0,86,5,308,1.6233766233766231,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
libmateweather,3,0,496,3,0,180,3,499,0.6012024048096193,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
libosinfo,0,0,783,0,0,168,0,783,0.0,Yoruba
marco,1912,0,2427,270,0,161,2240,4339,44.06545286932473,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
mate-applets,52,0,15801,52,0,1550,73,15853,0.3280136251813537,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
mate-calc,12,0,3166,12,0,707,19,3178,0.3775959723096287,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
mate-control-center,48,0,8554,43,0,1469,57,8602,0.5580097651708905,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
mate-desktop,56,0,2168,15,0,270,69,2224,2.5179856115107913,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
mate-icon-theme,1,0,3,1,0,1,1,4,25.0,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
mate-media,5,0,234,5,0,94,6,239,2.092050209205021,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
mate-menu,15,0,293,13,0,97,21,308,4.870129870129871,Yoruba (http://www.transifex.com/mate/MATE/language/yo/)
mate-menus,59,0,38,24,0,13,79,97,60.824742268041234,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
mate-notification-daemon,2,0,150,1,0,40,2,152,1.3157894736842104,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
mate-panel,2666,0,4061,337,0,465,2999,6727,39.63133640552996,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
mate-power-manager,13,0,5126,13,0,541,17,5139,0.2529675034053318,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
mate-sensors-applet,11,0,2149,11,0,215,16,2160,0.5092592592592593,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
mate-session-manager,64,0,648,25,0,106,86,712,8.98876404494382,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
mate-system-monitor,16,0,1497,15,0,313,20,1513,1.0575016523463316,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
mate-terminal,35,0,8474,27,0,776,43,8509,0.411329180867317,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
mate-themes,0,0,74,0,0,23,0,74,0.0,Yoruba (http://www.transifex.com/mate/MATE/language/yo/)
mate-user-admin,3,0,625,3,0,128,3,628,0.47770700636942676,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
mate-utils,130,0,10174,73,0,1056,154,10304,1.2616459627329193,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
metacity,2294,825,689,316,58,37,2715,3808,60.24159663865546,Yoruba
mingw-libosinfo,0,0,783,0,0,168,0,783,0.0,Yoruba
mingw-libvirt,0,0,0,0,0,0,0,0,0.0,Yoruba
mingw-libvirt-glib,0,0,158,0,0,31,0,158,0.0,Yoruba
mingw-osinfo-db-tools,0,0,222,0,0,43,0,222,0.0,Yoruba
mozo,3,0,40,2,0,15,3,43,6.976744186046512,Yoruba (https://www.transifex.com/mate/teams/13566/yo/)
muffin,2294,825,689,316,58,37,2715,3808,60.24159663865546,Yoruba
mutter,2294,825,689,316,58,37,2715,3808,60.24159663865546,Yoruba
