package,translatedsourcewords,fuzzysourcewords,untranslatedsourcewords,translated,fuzzy,untranslated,translatedtargetwords,totalsourcewordssum,progress,team
anaconda,0,0,14340,0,0,2386,0,14340,0.0,Cornish (United Kingdom)
appcenter,0,0,765,0,0,181,0,765,0.0,LANGUAGE <LL@li.org>
audience,0,0,106,0,0,48,0,106,0.0,
dippi,0,0,397,0,0,53,0,397,0.0,none
dnf-plugins-extras,0,0,750,0,0,150,0,750,0.0,Cornish (United Kingdom)
docker-anaconda-addon,0,0,54,0,0,8,0,54,0.0,Cornish
elementary-calculator,0,0,80,0,0,37,0,80,0.0,LANGUAGE <LL@li.org>
elementary-calendar,0,0,449,0,0,180,0,449,0.0,LANGUAGE <LL@li.org>
elementary-camera,0,0,62,0,0,16,0,62,0.0,
elementary-capnet-assist,0,0,81,0,0,13,0,81,0.0,none
elementary-screenshot-tool,0,0,132,0,0,43,0,132,0.0,LANGUAGE <LL@li.org>
elementary-shortcut-overlay,0,0,82,0,0,37,0,82,0.0,none
entangle,0,0,1906,0,0,458,0,1906,0.0,Cornish
harvey,0,0,57,0,0,12,0,57,0.0,none
initial-setup,0,0,66,0,0,14,0,66,0.0,Cornish (United Kingdom)
iso-codes,294,0,692,212,0,208,296,986,29.817444219066935,Cornish <https://hosted.weblate.org/projects/iso-codes/iso-3166-1/kw/>
isomaster,11,0,663,10,0,97,11,674,1.6320474777448073,http://littlesvr.ca/ostd/
libbytesize,0,0,34,0,0,34,0,34,0.0,Cornish (United Kingdom)
libosinfo,0,0,1324,0,0,290,0,1324,0.0,Cornish (United Kingdom)
libvirt,0,0,127782,0,0,19764,0,127782,0.0,Cornish (United Kingdom)
libvirt-glib,0,0,290,0,0,58,0,290,0.0,Cornish (United Kingdom)
libvirt-sandbox,0,0,1234,0,0,222,0,1234,0.0,Cornish (United Kingdom)
maya-calendar,0,0,394,0,0,164,0,394,0.0,LANGUAGE <LL@li.org>
mingw-libosinfo,0,0,4098,0,0,1208,0,4098,0.0,Cornish
mingw-libvirt,0,0,127782,0,0,19764,0,127782,0.0,Cornish (United Kingdom)
mingw-libvirt-glib,0,0,290,0,0,58,0,290,0.0,Cornish (United Kingdom)
noise,0,0,1322,0,0,377,0,1322,0.0,LANGUAGE <LL@li.org>
optimizer,0,0,111,0,0,54,0,111,0.0,none
osinfo-db-tools,0,0,112,0,0,24,0,112,0.0,Cornish (United Kingdom)
pam,0,0,1194,0,0,240,0,1194,0.0,Cornish
pantheon-agent-geoclue2,0,0,46,0,0,13,0,46,0.0,LANGUAGE <LL@li.org>
pantheon-agent-polkit,0,0,20,0,0,10,0,20,0.0,LANGUAGE <LL@li.org>
pantheon-calculator,0,0,52,0,0,32,0,52,0.0,LANGUAGE <LL@li.org>
pantheon-files,0,0,2487,0,0,492,0,2487,0.0,LANGUAGE <LL@li.org>
pantheon-photos,0,0,3977,0,0,856,0,3977,0.0,LANGUAGE <LL@li.org>
pykickstart,0,0,3042,0,0,340,0,3042,0.0,Cornish (United Kingdom)
python-fedora,0,0,428,0,0,58,0,428,0.0,Cornish (United Kingdom)
python-meh,0,0,218,0,0,46,0,218,0.0,Cornish
python-simpleline,0,0,84,0,0,32,0,84,0.0,Cornish
scratch-text-editor,0,0,681,0,0,198,0,681,0.0,LANGUAGE <LL@li.org>
screenshot-tool,0,0,146,0,0,44,0,146,0.0,LANGUAGE <LL@li.org>
sequeler,0,0,252,0,0,93,0,252,0.0,
slick-greeter,173,0,38,37,0,10,177,211,81.99052132701422,Cornish <kw@li.org>
sugar,0,0,2305,0,0,529,0,2305,0.0,LANGUAGE <LL@li.org>
sugar-terminal,0,0,121,0,0,26,0,121,0.0,LANGUAGE <LL@li.org>
sugar-toolkit-gtk3,38,10,111,37,6,68,38,159,23.89937106918239,LANGUAGE <LL@li.org>
supertuxkart,2671,0,690,577,0,175,2819,3361,79.47039571556085,Cornish (http://www.transifex.com/supertuxkart/supertuxkart/language/kw/)
switchboard,0,0,61,0,0,18,0,61,0.0,LANGUAGE <LL@li.org>
switchboard-plug-a11y,0,0,182,0,0,65,0,182,0.0,LANGUAGE <LL@li.org>
switchboard-plug-about,0,0,117,0,0,37,0,117,0.0,LANGUAGE <LL@li.org>
switchboard-plug-applications,0,0,86,0,0,32,0,86,0.0,none
switchboard-plug-bluetooth,0,0,74,0,0,28,0,74,0.0,none
switchboard-plug-display,0,0,126,0,0,49,0,126,0.0,LANGUAGE <LL@li.org>
switchboard-plug-keyboard,0,0,404,0,0,157,0,404,0.0,none
switchboard-plug-mouse-touchpad,0,0,150,0,0,51,0,150,0.0,none
switchboard-plug-networking,0,0,444,0,0,129,0,444,0.0,
switchboard-plug-notifications,0,0,139,0,0,20,0,139,0.0,none
switchboard-plug-pantheon-shell,0,0,153,0,0,59,0,153,0.0,
switchboard-plug-printers,0,0,336,0,0,138,0,336,0.0,LANGUAGE <LL@li.org>
switchboard-plug-sharing,0,0,130,0,0,28,0,130,0.0,none
switchboard-plug-sound,0,0,131,0,0,46,0,131,0.0,
virt-viewer,0,0,1568,0,0,338,0,1568,0.0,Cornish (United Kingdom)
vocal,0,0,377,0,0,79,0,377,0.0,Cornish <kw@li.org>
warmux,1273,667,804,251,105,116,1909,2744,46.39212827988338,Treylyansow <treylyansow@kernewegva.com>
wingpanel,0,0,6,0,0,1,0,6,0.0,none
wingpanel-applications-menu,0,0,225,0,0,72,0,225,0.0,
wingpanel-indicator-bluetooth,0,0,15,0,0,9,0,15,0.0,none
wingpanel-indicator-keyboard,0,0,10,0,0,4,0,10,0.0,
wingpanel-indicator-network,0,0,76,0,0,22,0,76,0.0,none
wingpanel-indicator-nightlight,0,0,16,0,0,6,0,16,0.0,
wingpanel-indicator-notifications,0,0,16,0,0,7,0,16,0.0,none
wingpanel-indicator-power,0,0,93,0,0,27,0,93,0.0,none
wingpanel-indicator-session,0,0,57,0,0,18,0,57,0.0,none
wingpanel-indicator-sound,0,0,14,0,0,6,0,14,0.0,none
